AAA, NTGA, Anaa Airport, --U--PF, null, Pacific/Tahiti
BRX, MDBH, Maria Montez International Airport, Barahona--04--DO, null, America/Santo_Domingo
BRY, KBRY, Samuels Field, Bardstown--KY--US, null, America/New_York
BSA, HCMF, Bosaso Airport, Bosaso--BR--SO, null, Africa/Mogadishu
BSB, SBBR, Presidente Juscelino Kubistschek International Airport, Brasília--DF--BR, null, America/Sao_Paulo
BSC, SKBS, José Celestino Mutis Airport, Bahía Solano--CHO--CO, null, America/Bogota
BSD, CN-0027, Baoshan Yunduan Airport, --53--CN, null, Asia/Shanghai
BSE, WBGN, Sematan Airport, Sematan--13--MY, null, Asia/Kuching
BSF, PHSF, Bradshaw Army Airfield, Camp Pohakuloa--HI--US, null, Pacific/Honolulu
BSG, FGBT, Bata Airport, --LI--GQ, null, Africa/Malabo
BSI, RPBL, Balesin Island Airport, Balesin--BAS--PH, null, Asia/Manila
BSJ, YBNS, Bairnsdale Airport, --VIC--AU, null, Australia/Melbourne
BSK, DAUB, Biskra Airport, Biskra--07--DZ, null, Africa/Algiers
BSL, LFSB, EuroAirport Basel-Mulhouse-Freiburg Airport, Bâle/Mulhouse--GES--FR, null, Europe/Paris
BSM, OINJ, Bishe Kola Air Base, Amol--21--IR, null, Asia/Tehran
BSN, FEFS, Bossangoa Airport, Bossangoa--AC--CF, null, Africa/Bangui
BSO, RPUO, Basco Airport, Basco--BTN--PH, null, Asia/Manila
BSP, BSP, Bensbach Airport, Bensbach--WPD--PG, null, Pacific/Port_Moresby
BSQ, KP04, Bisbee Municipal Airport, Bisbee--AZ--US, null, America/Phoenix
BSR, ORMM, Basrah International Airport, Basrah--BA--IQ, null, Asia/Baghdad
BSS, SNBS, Balsas Airport, Balsas--MA--BR, null, America/Fortaleza
BST, OABT, Bost Airport, Bost--HEL--AF, null, Asia/Kabul
BSU, FZEN, Basankusu Airport, Basankusu--EQ--CD, null, Africa/Kinshasa
BSV, BSV, Besakoa Airport, Besakoa--M--MG, null, Indian/Antananarivo
BSW, AK97, Boswell Bay Airport, Boswell Bay--AK--US, null, America/Anchorage
BSX, VYPN, Pathein Airport, Pathein--07--MM, null, Asia/Yangon
BSY, HCMD, Bardera Airport, --GE--SO, null, Africa/Mogadishu
BTA, FKKO, Bertoua Airport, Bertoua--ES--CM, null, Africa/Douala
BTB, FCOT, Betou Airport, Betou--7--CG, null, Africa/Brazzaville
BTC, VCCB, Batticaloa Airport, Batticaloa--5--LK, null, Asia/Colombo
BTD, YBRU, Brunette Downs Airport, --NT--AU, null, Australia/Darwin
BTE, GFBN, Sherbro International Airport, Bonthe--S--SL, null, Africa/Freetown
BTF, KBTF, Skypark Airport, Bountiful--UT--US, null, America/Denver
BTG, FEGF, Batangafo Airport, Batangafo--AC--CF, null, Africa/Bangui
BTH, WIDD, Hang Nadim International Airport, Batam Island--RI--ID, null, Asia/Jakarta
BTI, PABA, Barter Island LRRS Airport, Barter Island Lrrs--AK--US, null, America/Anchorage
BTJ, WITT, Sultan Iskandar Muda International Airport, Banda Aceh--AC--ID, null, Asia/Jakarta
BTK, UIBB, Bratsk Airport, Bratsk--IRK--RU, null, Asia/Irkutsk
BTL, KBTL, W K Kellogg Airport, Battle Creek--MI--US, null, America/Detroit
BTM, KBTM, Bert Mooney Airport, Butte--MT--US, null, America/Denver
BTN, KBBP, Marlboro County Jetport H.E. Avent Field, Bennettsville--SC--US, null, America/New_York
BTO, GY-BTO, Botopasi Airport, Botopasi--SI--SR, null, America/Paramaribo
BTP, KBTP, Pittsburgh/Butler Regional Airport, Butler--PA--US, null, America/New_York
BTQ, HRYI, Butare Airport, Butare--05--RW, null, Africa/Kigali
BTR, KBTR, Baton Rouge Metropolitan Airport, Baton Rouge--LA--US, null, America/Chicago
BTS, LZIB, M. R. Štefánik Airport, Bratislava--BL--SK, null, Europe/Bratislava
BTT, PABT, Bettles Airport, Bettles--AK--US, null, America/Anchorage
BTU, WBGB, Bintulu Airport, Bintulu--13--MY, null, Asia/Kuching
BTV, KBTV, Burlington International Airport, Burlington--VT--US, null, America/New_York
BTW, WAOC, Batu Licin Airport, Batu Licin-Borneo Island--KS--ID, null, Asia/Jakarta
BTX, YBEO, Betoota Airport, --QLD--AU, null, Australia/Brisbane
BTY, KBTY, Beatty Airport, Beatty--NV--US, null, America/Los_Angeles
BUA, AYBK, Buka Airport, Buka Island--NSB--PG, null, Pacific/Bougainville
BUB, KBUB, Cram Field, Burwell--NE--US, null, America/Chicago
BUC, YBKT, Burketown Airport, --QLD--AU, null, Australia/Brisbane
BUD, LHBP, Budapest Liszt Ferenc International Airport, Budapest--PE--HU, null, Europe/Budapest
BUF, KBUF, Buffalo Niagara International Airport, Buffalo--NY--US, null, America/New_York
BUG, FNBG, Benguela Airport, Benguela--BGU--AO, null, Africa/Luanda
BUI, WAJB, Bokondini Airport, Bokondini--PA--ID, null, Asia/Jayapura
BUJ, DAAD, Bou Saada Airport, --28--DZ, null, Africa/Algiers
BUK, OYBQ, Al-Bough Airport, Al-Bough--SD--YE, null, Asia/Aden
BUL, BUL, Bulolo Airport, Bulolo--MPL--PG, null, Pacific/Port_Moresby
BUM, KBUM, Butler Memorial Airport, Butler--MO--US, null, America/Chicago
BUN, SKBU, Gerardo Tobar López Airport, Buenaventura--VAC--CO, null, America/Bogota
BUO, HCMV, Burao Airport, Burao--TO--SO, null, Africa/Mogadishu
BUP, VIBT, Bhatinda Air Force Station, --PB--IN, null, Asia/Kolkata
BUQ, FVBU, Joshua Mqabuko Nkomo International Airport, Bulawayo--BU--ZW, null, Africa/Harare
BUR, KBUR, Bob Hope Airport, Burbank--CA--US, null, America/Los_Angeles
BUS, UGSB, Batumi International Airport, Batumi--AJ--GE, null, Asia/Tbilisi
BUT, VQBT, Bathpalathang Airport, Jakar--33--BT, null, Asia/Thimphu
BUU, WIPI, Muara Bungo Airport, Muara Bungo--JA--ID, null, Asia/Jakarta
BUV, SUBU, Bella Union Airport, Bella Union--AR--UY, null, America/Montevideo
BUW, WAWB, Betoambari Airport, Bau Bau-Butung Island--SG--ID, null, Asia/Makassar
BUX, FZKA, Bunia Airport, --OR--CD, null, Africa/Lubumbashi
BUY, YBUN, Bunbury Airport, --WA--AU, null, Australia/Perth
BUZ, OIBB, Bushehr Airport, Bushehr--06--IR, null, Asia/Tehran
BVA, LFOB, Paris Beauvais Tillé Airport, Beauvais/Tillé--HDF--FR, null, Europe/Paris
BVB, SBBV, Atlas Brasil Cantanhede Airport, Boa Vista--RR--BR, null, America/Boa_Vista
BVC, GVBA, Rabil Airport, Rabil--B--CV, null, Atlantic/Cape_Verde
BVE, LFSL, Brive-Souillac, Brive la Gaillarde--NAQ--FR, null, Europe/Paris
BVF, NFNU, Bui-Dama Airport, Bua--N--FJ, null, Pacific/Fiji
BVG, ENBV, Berlevåg Airport, Berlevåg--20--NO, null, Europe/Oslo
BVH, SBVH, Brigadeiro Camarão Airport, Vilhena--RO--BR, null, America/Cuiaba
BVI, YBDV, Birdsville Airport, --QLD--AU, null, Australia/Brisbane
BVK, SLHJ, Huacaraje Airport, Itenes--B--BO, null, America/La_Paz
BVL, BO-BVL, Baures Airport, Baures--B--BO, null, America/La_Paz
BVM, SNBL, Belmonte Airport, Belmonte--BA--BR, null, America/Bahia
BVO, KBVO, Bartlesville Municipal Airport, Bartlesville--OK--US, null, America/Chicago
BVP, BVP, Bolovip Airstrip, Bolovip--WPD--PG, null, Pacific/Port_Moresby
BVR, BVR, Esperadinha Airport, Brava Island--S--CV, null, Atlantic/Cape_Verde
BVS, SNVS, Breves Airport, Breves--PA--BR, null, America/Santarem
BVU, PABG, Beluga Airport, Beluga--AK--US, null, America/Anchorage
BVV, UHSB, Burevestnik Airport, Iturup Island--SAK--RU, null, Asia/Sakhalin
BVW, YBTV, Batavia Downs Airport, --QLD--AU, null, Australia/Brisbane
BVX, KBVX, Batesville Regional Airport, Batesville--AR--US, null, America/Chicago
BVY, KBVY, Beverly Municipal Airport, Beverly--MA--US, null, America/New_York
BVZ, YBYS, Beverley Springs Airport, --WA--AU, null, Australia/Perth
BWA, VNBW, Gautam Buddha Airport, Bhairawa--LU--NP, null, Asia/Kathmandu
BWB, YBWX, Barrow Island Airport, --WA--AU, null, Australia/Perth
BWC, KBWC, Brawley Municipal Airport, Brawley--CA--US, null, America/Los_Angeles
BWD, KBWD, Brownwood Regional Airport, Brownwood--TX--US, null, America/Chicago
BWE, EDVE, Braunschweig-Wolfsburg Airport, Braunschweig--NI--DE, null, Europe/Berlin
BWF, EGNL, Barrow Walney Island Airport, Barrow-in-Furness--ENG--GB, null, Europe/London
BWG, KBWG, Bowling Green Warren County Regional Airport, Bowling Green--KY--US, null, America/Chicago
BWH, WMKB, Butterworth Airport, Butterworth--07--MY, null, Asia/Kuala_Lumpur
BWI, KBWI, Baltimore/Washington International Thurgood Marshall Airport, Baltimore--MD--US, null, America/New_York
BWJ, BWJ, Bawan Airport, --MPL--PG, null, Pacific/Port_Moresby
BWK, LDSB, Bol Airport, Brač Island--17--HR, null, Europe/Zagreb
BWL, 6OK6, Earl Henry Airport, Blackwell--OK--US, null, America/Chicago
BWM, KBWW, Bowman Regional Airport, Bowman--ND--US, null, America/Denver
BWN, WBSB, Brunei International Airport, Bandar Seri Begawan--BM--BN, null, Asia/Brunei
BWO, UWSB, Balakovo Airport, Balakovo--SAR--RU, null, Europe/Saratov
BWP, BWP, Bewani Airport, Bewani--SAN--PG, null, Pacific/Port_Moresby
BWQ, YBRW, Brewarrina Airport, --NSW--AU, null, Australia/Sydney
BWT, YWYY, Wynyard Airport, Burnie--TAS--AU, null, Australia/Hobart
BWU, YSBK, Sydney Bankstown Airport, Sydney--NSW--AU, null, Australia/Sydney
BWW, MUBR, Las Brujas Airport, Cayo Santa Maria--07--CU, null, America/Havana
BWX, ID-0011, Blimbingsari Airport, Banyuwangi--JI--ID, null, Asia/Jakarta
BXA, KBXA, George R Carr Memorial Air Field, Bogalusa--LA--US, null, America/Chicago
BXB, WASO, Babo Airport, Babo-Papua Island--PB--ID, null, Asia/Jayapura
BXD, WAKE, Bade Airport, Bade--PA--ID, null, Asia/Jayapura
BXE, GOTB, Bakel Airport, Bakel--TC--SN, null, Africa/Dakar
BXF, YBEB, Bellburn Airstrip, Pumululu National Park--WA--AU, null, Australia/Perth
BXG, YBDG, Bendigo Airport, --VIC--AU, null, Australia/Melbourne
BXH, UAAH, Balkhash Airport, Balkhash--KAR--KZ, null, Asia/Almaty
BXI, DIBI, Boundiali Airport, Boundiali--03--CI, null, Africa/Abidjan
BXJ, UAAR, Boralday Airport, Aima Ata--ALM--KZ, null, Asia/Almaty
BXK, KBXK, Buckeye Municipal Airport, Buckeye--AZ--US, null, America/Phoenix
BXL, BXL, Blue Lagoon Seaplane Base, Nanuya Lailai Island--W--FJ, null, Pacific/Fiji
BXM, ID-BXM, Batom Airport, Batom-Papua Island--PA--ID, null, Asia/Jayapura
BXN, LTBV, Imsık Airport, --48--TR, null, Europe/Istanbul
BXO, LSZC, Buochs Airport, Buochs--NW--CH, null, Europe/Zurich
BXP, EPBP, Biała Podlaska Airfield, Biała Podlaska--LU--PL, null, Europe/Warsaw
BXR, OIKM, Bam Airport, --15--IR, null, Asia/Tehran
BXS, KL08, Borrego Valley Airport, Borrego Springs--CA--US, null, America/Los_Angeles
BXT, WRLC, Bontang Airport, Bontang-Borneo Island--KI--ID, null, Asia/Makassar
BXU, RPME, Bancasi Airport, Butuan City--AGN--PH, null, Asia/Manila
BXV, BIBV, Breiðdalsvík Airport, Breiðdalsvík--7--IS, null, Atlantic/Reykjavik
BXW, ID-0169, Bawean Airport, Bawean--JI--ID, null, Asia/Jakarta
BXX, SO-BXX, Borama Airport, Borama--WO--SO, null, Africa/Mogadishu
BXY, KZ-0067, Krainiy Airport, Baikonur--BAY--KZ, null, Asia/Qostanay
BXZ, BXZ, Bunsil Airport, Bunsil - Umboi Island--MPL--PG, null, Pacific/Port_Moresby
BYA, BYA, Boundary Airport, Boundary--AK--US, null, America/Anchorage
BYB, OM-0001, Dibba Airport, Dibba Al-Baya--MU--OM, null, Asia/Muscat
BYC, SLYA, Yacuiba Airport, Yacuíba--T--BO, null, America/La_Paz
BYD, OYBI, Al-Bayda Airport, Al-Bayda--BA--YE, null, Asia/Aden
BYF, LFAQ, Albert-Bray Airport, Albert/Bray--HDF--FR, null, Europe/Paris
BYG, KBYG, Johnson County Airport, Buffalo--WY--US, null, America/Denver
BYH, KBYH, Arkansas International Airport, Blytheville--AR--US, null, America/Chicago
BYI, KBYI, Burley Municipal Airport, Burley--ID--US, null, America/Boise
BYJ, LPBJ, Beja Airport / Airbase, Beja--02--PT, null, Europe/Lisbon
BYK, DIBK, Bouaké Airport, --04--CI, null, Africa/Abidjan
BYL, BYL, Bella Yella Airport, Beliyela--LO--LR, null, Africa/Monrovia
BYM, MUBY, Carlos Manuel de Cespedes Airport, Bayamo--12--CU, null, America/Havana
BYN, ZMBH, Bayankhongor Airport, Bayankhongor--069--MN, null, Asia/Ulaanbaatar
BYO, SBDB, Bonito Airport, Bonito--MS--BR, null, America/Campo_Grande
BYP, YBRY, Barimunya Airport, --WA--AU, null, Australia/Perth
BYQ, WALV, Bunyu Airport, Bunju Island--KU--ID, null, Asia/Makassar
BYR, EKLS, Læsø Airport, Læsø--81--DK, null, Europe/Copenhagen
BYS, KBYS, Bicycle Lake Army Air Field, Fort Irwin/Barstow--CA--US, null, America/Los_Angeles
BYT, EIBN, Bantry Aerodrome, Bantry--C--IE, null, Europe/Dublin
BYU, EDQD, Bayreuth Airport, Bayreuth--BY--DE, null, Europe/Berlin
BYV, BYV, Beira Lake Seaplane Base, Colombo--1--LK, null, Asia/Colombo
BYW, 38WA, Blakely Island Airport, Blakely Island--WA--US, null, America/Los_Angeles
BYX, AU-BYX, Baniyala Airport, Baniyala--NT--AU, null, Australia/Darwin
BZA, MNBZ, San Pedro Airport, Bonanza--AN--NI, null, America/Managua
BZB, BZB, Bazaruto Island Airport, Bazaruto Island--I--MZ, null, Africa/Maputo
BZC, SBBZ, Umberto Modiano Airport, Cabo Frio--RJ--BR, null, America/Sao_Paulo
BZD, YBRN, Balranald Airport, --NSW--AU, null, Australia/Sydney
BZE, MZBZ, Philip S. W. Goldson International Airport, Belize City--BZ--BZ, null, America/Belize
BZF, O85, Benton Field, Redding--CA--US, null, America/Los_Angeles
BZG, EPBY, Bydgoszcz Ignacy Jan Paderewski Airport, Bydgoszcz--KP--PL, null, Europe/Warsaw
BZH, FVBM, Bumi Airport, Bumi--MW--ZW, null, Africa/Harare
BZI, LTBF, Balıkesir Merkez Airport, --10--TR, null, Europe/Istanbul
BZK, UUBP, Bryansk Airport, Bryansk--BRY--RU, null, Europe/Moscow
BZL, VGBR, Barisal Airport, Barisal--1--BD, null, Asia/Dhaka
BZM, BZM, Bemolanga Airport, Bemolanga--M--MG, null, Indian/Antananarivo
BZN, KBZN, Gallatin Field, Bozeman--MT--US, null, America/Denver
BZO, LIPB, Bolzano Airport, Bolzano--32--IT, null, Europe/Rome
BZP, YBIZ, Bizant Airport, Lakefield National Park--QLD--AU, null, Australia/Brisbane
BZR, LFMU, Béziers-Vias Airport, Béziers/Vias--OCC--FR, null, Europe/Paris
BZT, 2TE0, Eagle Air Park, Brazoria--TX--US, null, America/Chicago
BZU, FZKJ, Buta Zega Airport, --OR--CD, null, Africa/Lubumbashi
BZV, FCBB, Maya-Maya Airport, Brazzaville--12--CG, null, Africa/Brazzaville
BZX, CN-0062, Bazhong Enyang Airport, Bazhong--51--CN, null, Asia/Shanghai
BZY, LUBL, Bălți International Airport, Bălți--RS--MD, null, Europe/Chisinau
BZZ, EGVN, RAF Brize Norton, Brize Norton--ENG--GB, null, Europe/London
CAA, MHCA, Catacamas Airport, Catacamas--OL--HN, null, America/Tegucigalpa
CAB, FNCA, Cabinda Airport, Cabinda--CAB--AO, null, Africa/Luanda
CAC, SBCA, Cascavel Airport, Cascavel--PR--BR, null, America/Sao_Paulo
CAD, KCAD, Wexford County Airport, Cadillac--MI--US, null, America/Detroit
CAE, KCAE, Columbia Metropolitan Airport, Columbia--SC--US, null, America/New_York
CAF, SWCA, Carauari Airport, Carauari--AM--BR, null, America/Manaus
CAG, LIEE, Cagliari Elmas Airport, Cagliari--88--IT, null, Europe/Rome
CAH, VVCM, Cà Mau Airport, Ca Mau City--59--VN, null, Asia/Ho_Chi_Minh
CAI, HECA, Cairo International Airport, Cairo--C--EG, null, Africa/Cairo
CAJ, SVCN, Canaima Airport, Canaima--F--VE, null, America/Caracas
CAK, KCAK, Akron Canton Regional Airport, Akron--OH--US, null, America/New_York
CAL, EGEC, Campbeltown Airport, Campbeltown--SCT--GB, null, Europe/London
CAM, SLCA, Camiri Airport, Camiri--S--BO, null, America/La_Paz
CAN, ZGGG, Guangzhou Baiyun International Airport, Guangzhou--44--CN, null, Asia/Shanghai
CAO, KCAO, Clayton Municipal Airpark, Clayton--NM--US, null, America/Denver
CAP, MTCH, Cap Haitien International Airport, Cap Haitien--ND--HT, null, America/Port-au-Prince
CAQ, SKCU, Juan H White Airport, Caucasia--ANT--CO, null, America/Bogota
CAR, KCAR, Caribou Municipal Airport, Caribou--ME--US, null, America/New_York
CAS, GMMC, Anfa Airport, Casablanca--CAS--MA, null, Africa/Casablanca
CAT, LPCS, Cascais Airport, Cascais--11--PT, null, Europe/Lisbon
CAU, SNRU, Caruaru Airport, Caruaru--PE--BR, null, America/Recife
CAV, FNCZ, Cazombo Airport, Cazombo--MOX--AO, null, Africa/Luanda
CAW, SBCP, Bartolomeu Lisandro Airport, Campos Dos Goytacazes--RJ--BR, null, America/Sao_Paulo
CAX, EGNC, Carlisle Airport, Carlisle--ENG--GB, null, Europe/London
CAY, SOCA, Cayenne-Rochambeau Airport, Cayenne / Rochambeau--CY--GF, null, America/Cayenne
CAZ, YCBA, Cobar Airport, --NSW--AU, null, Australia/Sydney
CBB, SLCB, Jorge Wilsterman International Airport, Cochabamba--C--BO, null, America/La_Paz
CBC, CBC, Cherrabun Airport, --WA--AU, null, Australia/Perth
CBD, VOCX, Car Nicobar Air Force Station, --AN--IN, null, Asia/Kolkata
CBE, KCBE, Greater Cumberland Regional Airport, Cumberland--MD--US, null, America/New_York
CBF, KCBF, Council Bluffs Municipal Airport, Council Bluffs--IA--US, null, America/Chicago
CBG, EGSC, Cambridge Airport, Cambridge--ENG--GB, null, Europe/London
CBH, DAOR, Béchar Boudghene Ben Ali Lotfi Airport, Béchar--08--DZ, null, Africa/Algiers
CBI, YCBN, Cape Barren Island Airport, --TAS--AU, null, Australia/Hobart
CBJ, MDCR, Cabo Rojo Airport, Cabo Rojo--16--DO, null, America/Santo_Domingo
CBK, KCBK, Shalz Field, Colby--KS--US, null, America/Chicago
CBL, SVCB, Aeropuerto  General Tomas de Heres . Ciudad Bolivar, --F--VE, null, America/Caracas
CBM, KCBM, Columbus Air Force Base, Columbus--MS--US, null, America/Chicago
CBN, WICD, Penggung Airport, Cirebon-Java Island--JB--ID, null, Asia/Jakarta
CBO, RPMC, Awang Airport, Cotabato City--MAG--PH, null, Asia/Manila
CBQ, DNCA, Margaret Ekpo International Airport, Calabar--CR--NG, null, Africa/Lagos
CBR, YSCB, Canberra International Airport, Canberra--ACT--AU, null, Australia/Sydney
CBS, SVON, Oro Negro Airport, Cabimas--V--VE, null, America/Caracas
CBT, FNCT, Catumbela Airport, Catumbela--BGU--AO, null, Africa/Luanda
CBU, EDCD, Cottbus-Drewitz Airport, Cottbus--BR--DE, null, Europe/Berlin
CBV, MGCB, Coban Airport, Coban--AV--GT, null, America/Guatemala
CBW, SSKM, Campo Mourão Airport, Campo Mourão--PR--BR, null, America/Sao_Paulo
CBX, YCDO, Condobolin Airport, --NSW--AU, null, Australia/Sydney
CBY, YCBE, Canobie Airport, Canobie--QLD--AU, null, Australia/Brisbane
CCA, SLCH, Chimore Airport, Chimore--C--BO, null, America/La_Paz
CCB, KCCB, Cable Airport, Upland--CA--US, null, America/Los_Angeles
CCC, MUCC, Jardines Del Rey Airport, Cayo Coco--08--CU, null, America/Havana
CCE, HE13, Capital International Airport, --C--EG, null, Africa/Cairo
CCF, LFMK, Carcassonne Airport, Carcassonne/Salvaza--OCC--FR, null, Europe/Paris
CCG, KE13, Crane County Airport, Crane--TX--US, null, America/Chicago
CCH, SCCC, Chile Chico Airport, Chile Chico--AI--CL, null, America/Santiago
CCI, SSCK, Concórdia Airport, Concórdia--SC--BR, null, America/Sao_Paulo
CCJ, VOCL, Calicut International Airport, Calicut--KL--IN, null, Asia/Kolkata
CCK, YPCC, Cocos (Keeling) Islands Airport, Cocos (Keeling) Islands--U--CC, null, Indian/Cocos
CCL, YCCA, Chinchilla Airport, --QLD--AU, null, Australia/Brisbane
CCM, SBCM, Diomício Freitas Airport, Criciúma--SC--BR, null, America/Sao_Paulo
CCN, OACC, Chakcharan Airport, Chakcharan--GHO--AF, null, Asia/Kabul
CCO, SKCI, Carimagua Airport, Puerto López--MET--CO, null, America/Bogota
CCP, SCIE, Carriel Sur Airport, Concepcion--BI--CL, null, America/Santiago
CCR, KCCR, Buchanan Field, Concord--CA--US, null, America/Los_Angeles
CCS, SVMI, Simón Bolívar International Airport, Caracas--X--VE, null, America/Caracas
CCT, SA30, Colonia Catriel Airport, Colonia Catriel--R--AR, null, America/Argentina/Salta
CCU, VECC, Netaji Subhash Chandra Bose International Airport, Kolkata--WB--IN, null, Asia/Kolkata
CCV, NVSF, Craig Cove Airport, Craig Cove--MAP--VU, null, Pacific/Efate
CCW, YCWL, Cowell Airport, --SA--AU, null, Australia/Adelaide
CCX, SWKC, Cáceres Airport, Cáceres--MT--BR, null, America/Cuiaba
CCY, KCCY, Northeast Iowa Regional Airport, Charles City--IA--US, null, America/Chicago
CCZ, MYBC, Chub Cay Airport, --NB--BS, null, America/Nassau
CDA, YCOO, Cooinda Airport, --NT--AU, null, Australia/Darwin
CDB, PACD, Cold Bay Airport, Cold Bay--AK--US, null, America/Nome
CDC, KCDC, Cedar City Regional Airport, Cedar City--UT--US, null, America/Denver
CDD, MHCU, Cauquira Airport, Cauquira--GD--HN, null, America/Tegucigalpa
CDE, ZBCD, Chengde Puning Airport, Chengde--13--CN, null, Asia/Shanghai
CDG, LFPG, Charles de Gaulle International Airport, Paris--IDF--FR, null, Europe/Paris
CDH, KCDH, Harrell Field, Camden--AR--US, null, America/Chicago
CDI, SNKI, Cachoeiro do Itapemirim Airport, Cachoeiro Do Itapemirim--ES--BR, null, America/Sao_Paulo
CDJ, SBAA, Conceição do Araguaia Airport, Conceição Do Araguaia--PA--BR, null, America/Araguaina
CDL, AK75, Candle 2 Airport, Candle--AK--US, null, America/Anchorage
CDN, KCDN, Woodward Field, Camden--SC--US, null, America/New_York
CDO, FACD, Cradock Airport, Cradock--EC--ZA, null, Africa/Johannesburg
CDP, VOCP, Kadapa Airport, Kadapa--AP--IN, null, Asia/Kolkata
CDQ, YCRY, Croydon Airport, --QLD--AU, null, Australia/Brisbane
CDR, KCDR, Chadron Municipal Airport, Chadron--NE--US, null, America/Denver
CDS, KCDS, Childress Municipal Airport, Childress--TX--US, null, America/Chicago
CDT, LECH, Castellón-Costa Azahar Airport, Castellón de la Plana--CS--ES, null, Europe/Madrid
CDU, YSCN, Camden Airport, --NSW--AU, null, Australia/Sydney
CDV, PACV, Merle K (Mudhole) Smith Airport, Cordova--AK--US, null, America/Anchorage
CDW, KCDW, Essex County Airport, Caldwell--NJ--US, null, America/New_York
CDY, RPMU, Cagayan de Sulu Airport, Mapun--TAW--PH, null, Asia/Manila
CEA, KCEA, Cessna Aircraft Field, Wichita--KS--US, null, America/Chicago
CEB, RPVM, Mactan Cebu International Airport, Lapu-Lapu City--CEB--PH, null, Asia/Manila
CEC, KCEC, Jack Mc Namara Field Airport, Crescent City--CA--US, null, America/Los_Angeles
CED, YCDU, Ceduna Airport, --SA--AU, null, Australia/Adelaide
CEE, ULBC, Cherepovets Airport, Cherepovets--VLG--RU, null, Europe/Moscow
CEF, KCEF, Westover ARB/Metropolitan Airport, Springfield/Chicopee--MA--US, null, America/New_York
CEG, EGNR, Hawarden Airport, Hawarden--WLS--GB, null, Europe/London
CEH, FWCD, Chelinda Malawi Airport, --RU--MW, null, Africa/Blantyre
CEI, VTCT, Chiang Rai International Airport, Chiang Rai--57--TH, null, Asia/Bangkok
CEK, USCC, Chelyabinsk Balandino Airport, Chelyabinsk--CHE--RU, null, Asia/Yekaterinburg
CEM, PACE, Central Airport, Central--AK--US, null, America/Anchorage
CEN, MMCN, Ciudad Obregón International Airport, Ciudad Obregón--SON--MX, null, America/Hermosillo
CEO, FNWK, Waco Kungo Airport, Waco Kungo--CUS--AO, null, Africa/Luanda
CEP, SLCP, Concepción Airport, Concepción--S--BO, null, America/La_Paz
CEQ, LFMD, Cannes-Mandelieu Airport, Cannes/Mandelieu--PAC--FR, null, Europe/Paris
CER, LFRC, Cherbourg-Maupertus Airport, Cherbourg/Maupertus--NOR--FR, null, Europe/Paris
CES, YCNK, Cessnock Airport, --NSW--AU, null, Australia/Sydney
CET, LFOU, Cholet Le Pontreau Airport, Cholet/Le Pontreau--PDL--FR, null, Europe/Paris
CEU, KCEU, Oconee County Regional Airport, Clemson--SC--US, null, America/New_York
CEV, KCEV, Mettel Field, Connersville--IN--US, null, America/Indiana/Indianapolis
CEW, KCEW, Bob Sikes Airport, Crestview--FL--US, null, America/Chicago
CEX, AK13, Chena Hot Springs Airport, Chena Hot Springs--AK--US, null, America/Anchorage
CEY, KCEY, Kyle Oakley Field, Murray--KY--US, null, America/Chicago
CEZ, KCEZ, Cortez Municipal Airport, Cortez--CO--US, null, America/Denver
CFB, SBCB, Cabo Frio Airport, Cabo Frio--RJ--BR, null, America/Sao_Paulo
CFC, SBCD, Caçador Airport, Caçador--SC--BR, null, America/Sao_Paulo
CFD, KCFD, Coulter Field, Bryan--TX--US, null, America/Chicago
CFE, LFLC, Clermont-Ferrand Auvergne Airport, Clermont-Ferrand/Auvergne--ARA--FR, null, Europe/Paris
CFF, FNCF, Cafunfo Airport, Cafunfo--LNO--AO, null, Africa/Luanda
CFG, MUCF, Jaime Gonzalez Airport, Cienfuegos--06--CU, null, America/Havana
CFH, YCFH, Clifton Hills Airport, Clifton Hills--SA--AU, null, Australia/Adelaide
CFI, YCFD, Camfield Airport, --NT--AU, null, Australia/Darwin
CFK, DAOI, Ech Cheliff Airport, --02--DZ, null, Africa/Algiers
CFM, CET2, Conklin (Leismer) Airport, Conklin--AB--CA, null, America/Edmonton
CFN, EIDL, Donegal Airport, Donegal--DL--IE, null, Europe/Dublin
CFO, SJHG, Confresa Airport, Confresa--MT--BR, null, America/Cuiaba
CFP, YCPN, Carpentaria Downs Airport, Carpentaria Downs--QLD--AU, null, Australia/Brisbane
CFQ, CAJ3, Creston Valley Regional Airport - Art Sutcliffe Field, Creston--BC--CA, null, America/Creston
CFR, LFRK, Caen-Carpiquet Airport, Caen/Carpiquet--NOR--FR, null, Europe/Paris
CFS, YSCH, Coffs Harbour Airport, Coffs Harbour--NSW--AU, null, Australia/Sydney
CFT, KCFT, Greenlee County Airport, Clifton/Morenci--AZ--US, null, America/Phoenix
CFU, LGKR, Ioannis Kapodistrias International Airport, Kerkyra Island--22--GR, null, Europe/Athens
CFV, KCFV, Coffeyville Municipal Airport, Coffeyville--KS--US, null, America/Chicago
CGA, CGA, Craig Seaplane Base, Craig--AK--US, null, America/Juneau
CGB, SBCY, Marechal Rondon Airport, Cuiabá--MT--BR, null, America/Cuiaba
CGC, CGC, Cape Gloucester Airport, Cape Gloucester--WBK--PG, null, Pacific/Port_Moresby
CGD, ZGCD, Changde Airport, Changde--43--CN, null, Asia/Shanghai
