AAA, NTGA, Anaa Airport, --U--PF, null, Pacific/Tahiti
ACA, MMAA, General Juan N Alvarez International Airport, Acapulco--GRO--MX, null, America/Mexico_City
ACB, KACB, Antrim County Airport, Bellaire--MI--US, null, America/Detroit
ACC, DGAA, Kotoka International Airport, Accra--AA--GH, null, Africa/Accra
ACD, SKAD, Alcides Fernández Airport, Acandí--CHO--CO, null, America/Bogota
ACE, GCRR, Lanzarote Airport, Lanzarote Island--CN--ES, null, Atlantic/Canary
ACH, LSZR, St Gallen Altenrhein Airport, Altenrhein--SG--CH, null, Europe/Zurich
ACI, EGJA, Alderney Airport, Saint Anne--U--GG, null, Europe/Guernsey
ACJ, VCCA, Anuradhapura Air Force Base, Anuradhapura--7--LK, null, Asia/Colombo
ACK, KACK, Nantucket Memorial Airport, Nantucket--MA--US, null, America/New_York
ACL, SK-048, Aguaclara Airport, Aguaclara--CAS--CO, null, America/Bogota
ACM, SK-001, Arica Airport, Arica--AMA--CO, null, America/Bogota
ACN, MMCC, Ciudad Acuña New International Airport, Ciudad Acuña--COA--MX, null, America/Matamoros
ACP, OITM, Sahand Airport, Maragheh--01--IR, null, Asia/Tehran
ACR, SKAC, Araracuara Airport, Araracuara--CAQ--CO, null, America/Bogota
ACS, UNKS, Achinsk Airport, Achinsk--KYA--RU, null, Asia/Krasnoyarsk
ACT, KACT, Waco Regional Airport, Waco--TX--US, null, America/Chicago
ACU, PA-0001, Achutupo Airport, Achutupo--5--PA, null, America/Panama
ACV, KACV, California Redwood Coast-Humboldt County Airport, Arcata/Eureka--CA--US, null, America/Los_Angeles
ACX, ZUYI, Xingyi Airport, Xingyi--52--CN, null, Asia/Shanghai
ACY, KACY, Atlantic City International Airport, Atlantic City--NJ--US, null, America/New_York
ACZ, OIZB, Zabol Airport, --13--IR, null, Asia/Tehran
ADA, LTAF, Adana Airport, Adana--01--TR, null, Europe/Istanbul
ADB, LTBJ, Adnan Menderes International Airport, İzmir--35--TR, null, Europe/Istanbul
ADC, ADC, Andakombe Airport, Andekombe--EHG--PG, null, Pacific/Port_Moresby
ADD, HAAB, Addis Ababa Bole International Airport, Addis Ababa--AA--ET, null, Africa/Addis_Ababa
ADE, OYAA, Aden International Airport, Aden--AD--YE, null, Asia/Aden
ADF, LTCP, Adıyaman Airport, Adıyaman--02--TR, null, Europe/Istanbul
ADG, KADG, Lenawee County Airport, Adrian--MI--US, null, America/Detroit
ADH, UEEA, Aldan Airport, Aldan--SA--RU, null, Asia/Yakutsk
ADI, FYAR, Arandis Airport, Arandis--ER--NA, null, Africa/Windhoek
ADJ, OJAM, Amman-Marka International Airport, Amman--AM--JO, null, Asia/Amman
ADK, PADK, Adak Airport, Adak Island--AK--US, null, America/Adak
ADL, YPAD, Adelaide International Airport, Adelaide--SA--AU, null, Australia/Adelaide
ADM, KADM, Ardmore Municipal Airport, Ardmore--OK--US, null, America/Chicago
ADN, SKAN, Andes Airport, Andes--ANT--CO, null, America/Bogota
ADO, YAMK, Andamooka Airport, --SA--AU, null, Australia/Adelaide
ADP, VCCG, Ampara Airport, Ampara--5--LK, null, Asia/Colombo
ADQ, PADQ, Kodiak Airport, Kodiak--AK--US, null, America/Anchorage
ADR, KPHH, Robert F Swinnie Airport, Andrews--SC--US, null, America/New_York
ADS, KADS, Addison Airport, Dallas--TX--US, null, America/Chicago
ADT, KADH, Ada Regional Airport, Ada--OK--US, null, America/Chicago
ADU, OITL, Ardabil Airport, Ardabil--03--IR, null, Asia/Tehran
ADV, ADV, El Daein Airport, El Daein--DE--SD, null, Africa/Khartoum
ADW, KADW, Joint Base Andrews, Camp Springs--MD--US, null, America/New_York
ADX, EGQL, RAF Leuchars, St. Andrews--SCT--GB, null, Europe/London
ADY, FAAL, Alldays Airport, Alldays--NP--ZA, null, Africa/Johannesburg
ADZ, SKSP, Gustavo Rojas Pinilla International Airport, San Andrés--SAP--CO, null, America/Bogota
AEA, NGTB, Abemama Atoll Airport, Abemama Atoll--G--KI, null, Pacific/Tarawa
AEB, CN-0082, Baise Youjiang Airport, Baise--45--CN, null, Asia/Shanghai
AEE, AEE, Adareil Airport, --23--SS, null, Africa/Juba
